Well;;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;D12;E02;E03;E04;E05;E06;E07;E08;E09;E10;E11;E12;F02;F03;F04;F05;F06;F07;F08;F09;F10;F11;F12;G02;G03;G04;G05;G06;G07;G08;G09;G10;G11;G12
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60;Sample X61;Sample X62;Sample X63;Sample X64;Sample X65;Sample X66
Blank corrected based on Raw Data (600);45,6667;-0,0110;-0,0110;0,4170;1,6940;0,4050;0,4550;-0,0140;0,0001;0,3910;-0,0110;-0,0090;-0,0009;0,0030;0,2510;0,6950;0,3490;0,3670;-0,0150;0,0240;0,4630;-0,0030;0,0040;0,0020;0,0040;0,1310;0,3530;0,2880;0,3280;-0,0150;0,0290;0,5010;0,0200;-0,0080;-0,0100;-0,0150;0,2190;0,5650;0,3650;0,5140;-0,0150;0,1760;0,3180;-0,0080;-0,0030;0,0070;-0,0090;1,2340;0,7480;0,5530;0,6590;-0,0140;-0,0010;0,2480;-0,0140;-0,0100;-0,0110;0,1750;0,0480;0,0830;0,1310;0,0970;0,0350;0,0320;0,0600;0,0150;-0,0080
Blank corrected based on Raw Data (600);45,8333;-0,0110;-0,0130;0,4290;1,5450;0,4060;0,4560;-0,0140;0,0010;0,3900;-0,0110;-0,0090;-0,0002;0,0020;0,2460;0,6110;0,3490;0,3650;-0,0150;0,0260;0,4590;-0,0030;-0,0090;0,0100;0,0020;0,1330;0,3020;0,2880;0,3250;-0,0160;0,0310;0,5010;0,0210;-0,0080;-0,0090;-0,0150;0,2200;0,5530;0,3640;0,5110;-0,0150;0,1750;0,3150;-0,0090;-0,0030;0,0030;0,0110;1,2010;0,7140;0,5510;0,6710;-0,0150;-0,0005;0,2470;-0,0140;-0,0090;-0,0100;0,1170;0,0550;0,0830;0,1350;0,0970;-0,0130;0,0310;0,0600;0,1060;-0,0060
Blank corrected based on Raw Data (600);46,0000;-0,0120;-0,0090;0,4210;1,7230;0,4020;0,4530;-0,0140;0,0010;0,3960;-0,0120;-0,0090;0,0180;0,0220;0,2480;0,6110;0,3470;0,3640;-0,0160;0,0270;0,4580;-0,0030;-0,0090;0,0760;0,0040;0,1330;0,3600;0,2880;0,3270;-0,0160;0,0330;0,5000;0,0210;-0,0080;-0,0100;-0,0150;0,2210;0,5460;0,3660;0,5120;-0,0150;0,1760;0,3230;-0,0080;-0,0030;0,0490;0,0350;1,2450;0,7100;0,5580;0,6650;-0,0140;-0,0005;0,2510;-0,0140;-0,0100;-0,0110;0,2540;0,1820;0,0830;0,1370;0,0970;-0,0060;0,0320;0,0600;0,0190;-0,0060
Blank corrected based on Raw Data (600);46,1667;-0,0120;-0,0140;0,4260;1,7010;0,4070;0,4530;-0,0130;0,0020;0,3940;-0,0110;-0,0090;0,0120;0,0030;0,2490;0,5790;0,3390;0,3620;-0,0140;0,0290;0,4600;-0,0060;-0,0090;0,0000;0,0030;0,1360;0,3440;0,2900;0,3270;-0,0150;0,0350;0,4940;0,0220;-0,0080;-0,0090;-0,0150;0,2210;0,5580;0,3560;0,5110;-0,0150;0,1750;0,3240;-0,0090;-0,0030;-0,0030;-0,0030;1,2410;0,7540;0,5500;0,6540;-0,0150;0,0001;0,2550;-0,0150;-0,0100;-0,0100;0,1420;0,3230;0,0820;0,1420;0,1000;-0,0130;0,0330;0,0610;0,2650;-0,0070
Blank corrected based on Raw Data (600);46,3333;-0,0120;-0,0140;0,4260;1,2430;0,4100;0,4570;-0,0130;0,0030;0,3950;-0,0110;-0,0080;0,0270;0,0030;0,2500;0,6630;0,3540;0,3620;-0,0060;0,0280;0,4820;-0,0110;0,0080;0,0370;0,0040;0,1370;0,3530;0,2900;0,3200;-0,0160;0,0360;0,4840;0,0230;-0,0080;-0,0090;-0,0150;0,2500;0,6390;0,3580;0,5120;-0,0140;0,1530;0,3230;-0,0070;-0,0020;0,0030;-0,0060;1,1970;0,9470;0,5650;0,6570;-0,0140;-0,0005;0,2570;-0,0130;-0,0100;-0,0090;0,3080;0,0440;0,0860;0,1410;0,0990;-0,0130;0,0340;0,0640;0,1450;-0,0060
Blank corrected based on Raw Data (600);46,5000;-0,0120;-0,0120;0,4150;1,5240;0,4110;0,4540;-0,0130;0,0040;0,3910;-0,0100;-0,0090;0,1740;0,0040;0,2480;0,5580;0,3370;0,3600;-0,0150;0,0310;0,4550;0,0070;-0,0100;0,0810;0,0030;0,1350;0,4190;0,2890;0,3240;-0,0150;0,0390;0,4980;0,0230;-0,0060;-0,0110;-0,0150;0,2240;0,5680;0,3690;0,5090;-0,0140;0,1760;0,3300;-0,0090;-0,0030;0,0010;-0,0060;1,2550;0,7250;0,5580;0,6620;-0,0150;0,0010;0,2580;-0,0140;-0,0100;-0,0100;0,2140;0,0430;0,0870;0,1480;0,1010;-0,0120;0,0350;0,0650;0,1540;-0,0060
Blank corrected based on Raw Data (600);46,6667;-0,0110;0,1750;0,4210;1,5450;0,4010;0,4530;-0,0140;0,0040;0,3950;-0,0100;-0,0090;0,1050;0,0180;0,2540;0,6480;0,3550;0,3590;-0,0060;0,0320;0,4810;0,0120;-0,0080;0,0120;0,0060;0,1400;0,4040;0,2920;0,3200;-0,0150;0,0410;0,4910;0,0240;-0,0060;-0,0090;-0,0150;0,2580;0,6370;0,3570;0,5120;-0,0140;0,1540;0,3270;-0,0080;-0,0020;0,2300;0,0600;1,2690;0,6930;0,5750;0,6530;-0,0150;-0,0006;0,2680;-0,0130;-0,0090;-0,0100;0,3160;0,0440;0,0860;0,1450;0,1020;-0,0100;0,0340;0,0670;0,1660;-0,0050
Blank corrected based on Raw Data (600);46,8333;-0,0110;-0,0140;0,4130;1,6770;0,4050;0,4520;-0,0150;0,0040;0,3870;-0,0110;-0,0090;0,0170;0,0060;0,2530;0,5610;0,3330;0,3570;-0,0150;0,0330;0,4550;-0,0110;-0,0090;0,0610;0,0030;0,1370;0,3390;0,2890;0,3220;-0,0160;0,0450;0,4970;0,0240;-0,0080;-0,0110;-0,0160;0,2280;0,5860;0,3680;0,5100;-0,0150;0,1770;0,3290;-0,0090;-0,0030;0,1570;0,0620;1,2500;0,7500;0,5530;0,6570;-0,0150;0,0020;0,2650;-0,0140;-0,0110;-0,0110;0,2000;0,0680;0,0890;0,1490;0,1020;0,0030;0,0350;0,0650;0,1070;-0,0060
Blank corrected based on Raw Data (600);47,0000;-0,0100;-0,0080;0,4130;1,7550;0,4070;0,4560;-0,0140;0,0050;0,3870;-0,0100;-0,0090;0,0210;0,0120;0,2490;0,6110;0,3510;0,3570;-0,0150;0,0340;0,4800;-0,0110;0,0030;0,0170;0,0050;0,1400;0,4440;0,2950;0,3170;-0,0150;0,0460;0,4890;0,0250;-0,0060;-0,0100;-0,0150;0,2580;0,6330;0,3680;0,5140;-0,0140;0,1550;0,3270;-0,0070;-0,0020;0,0800;0,0650;1,2530;0,7810;0,5690;0,6520;-0,0150;0,0001;0,2730;-0,0130;-0,0090;-0,0100;0,1670;0,0830;0,0870;0,1470;0,1030;-0,0110;0,0360;0,0670;0,1420;-0,0060
Blank corrected based on Raw Data (600);47,1667;-0,0120;-0,0120;0,4130;1,6980;0,4110;0,4520;-0,0150;0,0060;0,3860;-0,0110;-0,0080;0,0160;0,0100;0,2520;0,5200;0,3330;0,3540;-0,0150;0,0350;0,4550;-0,0110;-0,0090;0,0150;0,0050;0,1400;0,3840;0,2920;0,3210;-0,0150;0,0510;0,4980;0,0250;-0,0040;-0,0110;-0,0150;0,2300;0,5830;0,3630;0,5090;-0,0150;0,1790;0,3240;-0,0080;-0,0020;0,0040;0,0190;1,2920;0,6800;0,5570;0,6680;-0,0150;0,0030;0,2720;-0,0140;-0,0110;-0,0110;0,3450;0,0460;0,0870;0,1520;0,1030;-0,0140;0,0350;0,0670;0,0700;-0,0070
Blank corrected based on Raw Data (600);47,3333;-0,0100;-0,0130;0,4130;1,5770;0,4170;0,4510;-0,0140;0,0050;0,3840;-0,0110;-0,0090;0,0090;0,0050;0,2540;0,5110;0,3320;0,3530;-0,0140;0,0370;0,4520;-0,0090;-0,0090;0,1370;0,0050;0,1400;0,4210;0,2920;0,3200;-0,0150;0,0520;0,4960;0,0260;-0,0070;-0,0120;-0,0150;0,2310;0,5780;0,3660;0,5070;-0,0140;0,1780;0,3310;-0,0090;-0,0030;0,0260;-0,0040;1,2800;0,7030;0,5550;0,6520;-0,0150;0,0020;0,2760;-0,0130;-0,0100;-0,0100;0,2050;0,0500;0,0870;0,1480;0,1050;-0,0140;0,0340;0,0910;0,1500;-0,0070
Blank corrected based on Raw Data (600);47,5000;-0,0130;-0,0140;0,4170;1,5600;0,4060;0,4500;-0,0140;0,0070;0,3850;-0,0110;-0,0090;0,0190;0,0030;0,2610;0,4970;0,3330;0,3510;-0,0120;0,0370;0,4520;-0,0090;-0,0060;0,1850;0,0040;0,1440;0,4270;0,2910;0,3210;-0,0160;0,0550;0,4960;0,0260;-0,0080;-0,0120;-0,0150;0,2350;0,5710;0,3480;0,5060;-0,0160;0,1780;0,3250;-0,0080;-0,0030;0,1970;0,0600;1,2980;0,7100;0,5560;0,6470;-0,0160;0,0030;0,2780;-0,0130;-0,0100;-0,0110;0,3010;0,0450;0,0860;0,1520;0,1050;0,0070;0,0350;0,0810;0,0310;-0,0070
Blank corrected based on Raw Data (600);47,6667;0,0320;-0,0130;0,4150;1,5400;0,4080;0,4510;-0,0150;0,0070;0,3830;-0,0110;-0,0090;0,0100;0,0030;0,2570;0,5230;0,3350;0,3500;0,0090;0,0390;0,4540;-0,0100;0,0003;0,0050;0,0005;0,1420;0,4400;0,2930;0,3180;-0,0150;0,0600;0,4960;0,0260;-0,0080;-0,0110;-0,0150;0,2350;0,5510;0,3640;0,5060;-0,0140;0,1780;0,3320;-0,0080;-0,0030;0,0810;0,0300;1,2900;0,6850;0,5540;0,6470;-0,0150;0,0050;0,2780;-0,0130;-0,0110;-0,0100;0,1930;0,0450;0,0880;0,1570;0,1060;0,0100;0,0360;0,0790;0,1360;-0,0070
