Well;;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60;Sample X61;Sample X62;Sample X63;Sample X64;Sample X65;Sample X66;Sample X67;Sample X68;Sample X69;Sample X70;Sample X71;Sample X72;Sample X73;Sample X74;Sample X75;Sample X76;Sample X77;Sample X78;Sample X79;Sample X80;Sample X81;Sample X82;Sample X83;Sample X84;Sample X85;Sample X86;Sample X87;Sample X88
Blank corrected based on Raw Data (600);13,00;-0,00055;0,007;-0,008;-0,009;-0,015;-0,00045;-0,01;-0,009;0,035;-0,015;-0,015;0,399;0,022;-0,017;-0,012;-0,018;0,372;-0,013;-0,02;-0,014;-0,018;-0,016;-0,015;-0,011;-0,022;-0,019;-0,021;-0,01;-0,012;-0,02;0,001;-0,018;-0,016;-0,02;-0,011;-0,022;-0,017;-0,018;-0,02;-0,008;-0,019;-0,012;-0,018;0,007;0,02;0,032;-0,02;0,002;-0,021;0,056;0,039;-0,018;-0,012;-0,018;-0,015;0,068;0,011;-0,016;-0,014;-0,021;0,085;-0,006;-0,018;-0,007;-0,017;-0,015;-0,009;-0,009;-0,021;-0,017;-0,018;-0,007;-0,003;-0,013;-0,006;0,172;-0,003;0,458;0,081;0,032;0,562;-0,021;0,457;0,104;0,037;0,676;-0,015;-0,01
Blank corrected based on Raw Data (600);13,17;-0,0001125;0,012;-0,007;-0,008;-0,017;-0,0004125;-0,009;-0,009;0,037;-0,016;-0,014;0,413;0,053;-0,02;-0,013;-0,019;0,368;-0,011;-0,02;-0,015;-0,019;-0,016;-0,014;-0,013;-0,022;-0,02;-0,021;-0,009;-0,011;-0,022;0,0006875;-0,019;-0,016;-0,021;-0,012;-0,021;-0,01;-0,019;-0,02;-0,011;-0,017;-0,011;-0,019;0,007;0,022;0,036;-0,02;0,008;-0,021;0,053;0,036;-0,019;-0,009;-0,019;-0,016;0,068;0,009;-0,015;-0,013;-0,021;0,089;-0,006;-0,018;-0,007;-0,018;-0,014;-0,01;-0,012;-0,02;-0,017;-0,019;-0,007;-0,007;-0,011;-0,005;0,204;-0,009;0,457;0,092;0,036;0,59;-0,021;0,456;0,104;0,042;0,717;-0,015;-0,012
Blank corrected based on Raw Data (600);13,33;-0,000425;0,007;-0,008;-0,009;-0,016;0,000175;-0,01;-0,01;0,039;-0,016;-0,015;0,375;-0,011;-0,019;-0,014;-0,02;0,372;-0,011;-0,021;-0,015;-0,018;-0,017;-0,015;-0,012;-0,022;-0,02;-0,023;-0,011;-0,014;-0,02;0,000775;-0,019;-0,018;-0,022;-0,013;-0,022;-0,017;-0,018;-0,021;-0,008;-0,02;-0,013;-0,021;0,012;0,024;0,034;-0,021;0,004;-0,022;0,061;0,038;-0,019;-0,01;-0,02;-0,017;0,066;0,009;-0,017;-0,014;-0,022;0,092;-0,006;-0,018;-0,007;-0,018;-0,015;-0,01;-0,009;-0,021;-0,018;-0,02;-0,007;-0,005;-0,013;-0,005;0,001;-0,008;0,466;0,09;0,038;0,617;-0,021;0,466;0,118;0,046;0,741;-0,015;-0,012
Blank corrected based on Raw Data (600);13,50;0,002;0,013;-0,007;-0,007;-0,014;0,001;-0,01;-0,008;0,04;-0,016;-0,014;0,383;-0,008;-0,019;-0,011;-0,019;0,356;-0,011;-0,02;-0,014;-0,017;-0,015;-0,015;-0,014;-0,022;-0,019;-0,022;-0,008;-0,011;-0,021;-0,000125;-0,017;-0,016;-0,021;-0,012;-0,021;-0,018;-0,019;-0,02;-0,01;-0,018;-0,01;-0,019;0,011;0,026;0,042;-0,02;0,01;-0,02;0,062;0,036;-0,02;-0,006;-0,019;-0,016;0,071;0,008;-0,015;-0,012;-0,021;0,091;-0,006;-0,017;-0,006;0,056;-0,015;-0,01;-0,012;-0,021;-0,016;-0,02;-0,008;-0,008;-0,012;-0,006;0,102;-0,009;0,458;0,105;0,047;0,619;-0,021;0,454;0,115;0,05;0,773;-0,015;-0,011
Blank corrected based on Raw Data (600);13,67;0,002;0,009;-0,003;-0,008;-0,011;0,003;-0,009;-0,008;0,042;-0,01;-0,014;0,364;0,139;-0,017;-0,01;-0,017;0,353;-0,01;-0,02;-0,013;-0,017;-0,015;-0,014;-0,012;-0,021;-0,018;-0,021;-0,009;-0,012;-0,02;0,001;-0,018;-0,015;-0,021;-0,011;-0,02;-0,016;-0,017;-0,02;-0,007;-0,018;-0,01;-0,017;0,004;0,028;0,039;-0,019;0,007;-0,021;0,068;0,04;-0,018;-0,008;-0,019;-0,013;0,078;0,01;-0,015;-0,011;-0,019;0,099;-0,004;-0,017;-0,004;-0,017;-0,014;-0,008;-0,008;-0,019;-0,01;-0,017;-0,005;-0,002;-0,011;-0,004;0,261;-0,009;0,46;0,102;0,054;0,628;-0,019;0,456;0,132;0,051;0,791;-0,015;-0,01
Blank corrected based on Raw Data (600);13,83;0,003;0,012;-0,005;-0,007;-0,015;0,002;-0,009;-0,008;0,039;-0,016;-0,014;0,366;0,073;-0,019;-0,011;-0,02;0,344;-0,011;-0,021;-0,014;-0,018;-0,015;-0,015;-0,012;-0,021;-0,018;-0,021;-0,01;-0,011;-0,019;0,001;-0,017;-0,015;-0,021;-0,012;-0,02;-0,017;-0,019;-0,02;-0,01;-0,018;-0,011;-0,018;0,007;0,03;0,041;-0,02;0,011;-0,021;0,067;0,043;-0,019;-0,002;-0,019;-0,015;0,078;0,009;-0,017;-0,012;-0,021;0,096;-0,006;-0,017;-0,005;0,105;-0,014;-0,01;-0,012;-0,021;-0,016;-0,019;-0,007;-0,008;-0,013;-0,005;0,005;-0,008;0,45;0,113;0,055;0,646;-0,02;0,453;0,141;0,06;0,826;-0,016;-0,01
Blank corrected based on Raw Data (600);14,00;0,002;0,009;-0,008;-0,008;-0,021;0,002;-0,012;-0,009;0,04;-0,017;-0,016;0,371;0,022;-0,02;-0,012;-0,021;0,346;-0,012;-0,022;-0,015;-0,019;-0,017;-0,015;-0,013;-0,023;-0,02;-0,023;-0,01;-0,015;-0,022;-0,002;-0,019;-0,018;-0,021;-0,013;-0,021;-0,019;-0,02;-0,021;-0,011;-0,019;-0,011;-0,02;0,016;0,029;0,04;-0,021;0,011;-0,022;0,064;0,039;-0,019;-0,007;-0,02;-0,017;0,086;0,008;-0,017;-0,013;-0,023;0,116;-0,007;-0,018;-0,006;-0,019;-0,016;-0,01;-0,013;-0,022;-0,017;-0,02;-0,007;-0,009;-0,013;-0,006;0,231;-0,007;0,452;0,119;0,056;0,674;-0,021;0,456;0,138;0,058;0,827;-0,017;-0,012
Blank corrected based on Raw Data (600);14,17;0,004;0,01;-0,005;-0,005;-0,022;0,006;-0,009;-0,007;0,042;-0,015;-0,013;0,349;-0,01;-0,018;-0,009;-0,018;0,33;-0,011;-0,021;-0,013;-0,017;-0,015;-0,013;0,002;-0,021;-0,019;-0,02;-0,008;-0,012;-0,019;0,002;-0,017;-0,016;-0,019;-0,011;-0,021;-0,017;-0,019;-0,02;-0,01;-0,018;-0,011;-0,018;0,008;0,032;0,047;-0,02;0,015;-0,02;0,07;0,041;-0,018;-0,005;-0,018;-0,016;0,096;0,012;-0,016;-0,01;-0,021;0,132;-0,004;-0,017;-0,003;-0,016;-0,014;-0,008;-0,012;-0,02;-0,016;-0,019;-0,006;-0,007;-0,012;-0,004;-0,009;0,006;0,441;0,126;0,06;0,681;-0,02;0,451;0,154;0,07;0,841;-0,015;-0,01
Blank corrected based on Raw Data (600);14,33;0,004;0,006;-0,007;-0,008;-0,021;0,004;-0,01;-0,009;0,043;-0,016;-0,015;0,349;-0,008;-0,017;-0,01;-0,02;0,327;-0,012;-0,021;-0,01;-0,018;-0,016;-0,015;-0,012;-0,022;-0,02;-0,021;-0,009;-0,011;-0,021;0,0002625;-0,019;-0,016;-0,021;-0,013;-0,021;-0,017;-0,019;-0,021;-0,009;-0,02;-0,012;-0,019;0,004;0,034;0,038;-0,02;0,009;-0,021;0,075;0,042;-0,02;-0,006;-0,017;-0,015;0,093;0,011;-0,016;-0,012;-0,021;0,128;-0,004;-0,018;-0,004;-0,017;-0,015;-0,01;-0,009;-0,021;-0,017;-0,019;-0,006;-0,005;-0,013;-0,006;-0,006;-0,01;0,455;0,122;0,067;0,696;-0,02;0,449;0,166;0,069;0,842;-0,016;-0,012
Blank corrected based on Raw Data (600);14,50;0,005;0,007;-0,007;-0,007;-0,022;0,007;-0,01;-0,008;0,044;-0,015;-0,014;0,347;-0,006;-0,017;-0,01;-0,019;0,331;-0,01;-0,021;-0,012;-0,017;-0,016;-0,014;-0,011;-0,021;-0,018;-0,021;-0,009;-0,014;-0,02;0,002;-0,017;-0,015;-0,022;-0,012;-0,021;-0,017;-0,018;-0,02;-0,009;-0,018;-0,011;-0,018;0,009;0,037;0,041;-0,019;0,01;-0,021;0,083;0,044;-0,018;-0,005;-0,018;-0,015;0,098;0,01;-0,015;-0,011;-0,021;0,145;-0,004;-0,017;-0,002;0,102;-0,013;-0,01;-0,007;-0,021;-0,016;-0,019;-0,005;-0,003;-0,012;-0,005;-0,007;-0,007;0,444;0,129;0,074;0,732;-0,02;0,448;0,189;0,074;0,877;-0,015;-0,01
Blank corrected based on Raw Data (600);14,67;0,007;0,008;-0,005;-0,007;-0,019;0,008;-0,009;-0,008;0,044;-0,016;-0,014;0,336;-0,009;-0,017;-0,009;-0,017;0,322;-0,009;-0,02;-0,01;-0,017;-0,014;-0,013;0,003;-0,021;-0,019;-0,02;-0,009;-0,013;-0,019;0,002;-0,017;-0,016;-0,02;-0,012;-0,021;-0,016;-0,017;-0,019;-0,01;-0,018;-0,011;-0,017;0,0000125;0,039;0,038;-0,019;0,011;-0,02;0,081;0,047;-0,018;-0,004;-0,019;-0,015;0,099;0,012;-0,015;-0,009;-0,02;0,136;-0,003;-0,016;-0,002;-0,018;-0,014;-0,01;-0,007;-0,02;-0,015;-0,019;-0,004;-0,004;-0,012;-0,004;0,206;-0,008;0,439;0,136;0,08;0,727;-0,02;0,438;0,183;0,083;0,899;-0,014;-0,01
Blank corrected based on Raw Data (600);14,83;0,008;0,01;-0,006;-0,005;-0,018;0,01;-0,01;-0,007;0,045;-0,014;-0,015;0,348;-0,012;-0,018;-0,008;-0,019;0,326;-0,011;-0,02;-0,011;-0,018;-0,016;-0,014;-0,015;-0,022;-0,019;-0,02;-0,008;-0,012;-0,019;0,001;-0,018;-0,016;-0,02;-0,012;-0,021;-0,016;-0,018;-0,02;-0,01;-0,018;-0,011;-0,019;0,01;0,04;0,044;-0,019;0,021;-0,02;0,09;0,049;-0,019;-0,003;-0,018;-0,016;0,12;0,009;-0,015;-0,009;-0,02;0,155;-0,005;-0,017;-0,002;-0,018;-0,013;-0,01;-0,012;-0,021;-0,016;-0,019;-0,004;-0,007;-0,011;-0,004;0,26;-0,009;0,439;0,145;0,084;0,756;-0,02;0,444;0,179;0,089;0,939;-0,016;-0,011
Blank corrected based on Raw Data (600);15,00;0,009;0,011;-0,004;-0,005;-0,015;0,012;-0,009;-0,006;0,047;-0,015;-0,014;0,325;-0,012;-0,018;-0,007;-0,019;0,32;-0,011;-0,02;-0,01;-0,016;-0,016;-0,014;-0,014;-0,021;-0,019;-0,02;-0,008;-0,012;-0,02;0,001;-0,017;-0,015;-0,02;-0,012;-0,02;-0,016;-0,018;-0,02;-0,012;-0,018;-0,01;-0,018;0,005;0,045;0,045;-0,02;0,021;-0,019;0,091;0,043;-0,018;-0,001;-0,019;-0,015;0,105;0,011;-0,014;-0,009;-0,021;0,152;-0,004;-0,016;-0,0006875;-0,017;-0,014;-0,01;-0,013;-0,02;-0,015;-0,018;-0,006;-0,007;-0,012;-0,004;0,199;-0,009;0,436;0,154;0,089;0,773;-0,02;0,44;0,18;0,1;0,96;-0,015;-0,01
Blank corrected based on Raw Data (600);15,17;0,01;0,011;-0,004;-0,004;-0,012;0,013;-0,009;-0,007;0,046;-0,016;-0,014;0,326;0,014;-0,018;-0,007;-0,019;0,318;-0,01;-0,02;-0,01;-0,016;-0,016;-0,014;-0,014;-0,021;-0,02;-0,021;-0,008;-0,013;-0,02;0,001;-0,017;-0,015;-0,02;-0,012;-0,02;-0,017;-0,019;-0,019;-0,01;-0,018;-0,011;-0,018;0,005;0,045;0,045;-0,019;0,022;-0,02;0,087;0,043;-0,018;-0,000525;-0,017;-0,016;0,11;0,01;-0,015;-0,009;-0,02;0,155;-0,005;-0,016;-0,002;-0,015;-0,015;-0,01;-0,012;-0,02;-0,015;-0,018;-0,006;-0,008;-0,011;-0,004;0,186;-0,008;0,431;0,164;0,093;0,782;-0,02;0,439;0,209;0,104;0,983;-0,015;-0,01
Blank corrected based on Raw Data (600);15,33;0,012;0,011;-0,005;-0,002;-0,012;0,015;-0,008;-0,006;0,049;-0,014;-0,013;0,321;-0,012;-0,017;-0,006;-0,018;0,321;-0,009;-0,02;-0,009;-0,016;-0,014;-0,014;-0,013;-0,02;-0,018;-0,02;-0,008;-0,013;-0,019;0,002;-0,017;-0,015;-0,019;-0,011;-0,019;-0,017;-0,018;-0,019;-0,011;-0,017;-0,009;-0,019;0,005;0,048;0,045;-0,018;0,024;-0,018;0,093;0,045;-0,017;0,000625;-0,017;-0,015;0,119;0,01;-0,014;-0,008;-0,019;0,173;-0,004;-0,015;-0,000375;-0,013;-0,013;-0,01;-0,011;-0,02;-0,015;-0,018;-0,005;-0,006;-0,01;-0,003;0,303;0,02;0,43;0,171;0,099;0,8;-0,02;0,443;0,236;0,112;0,993;-0,014;-0,007
Blank corrected based on Raw Data (600);15,50;0,013;0,005;-0,006;-0,007;-0,012;0,015;-0,013;-0,008;0,044;-0,016;-0,014;0,316;-0,01;-0,019;-0,006;-0,02;0,312;-0,014;-0,02;-0,01;-0,018;-0,015;-0,014;-0,016;-0,022;-0,02;-0,022;-0,009;-0,014;-0,021;-0,01;-0,018;-0,016;-0,02;-0,013;-0,02;-0,017;-0,019;-0,02;-0,012;-0,019;-0,011;-0,019;0,014;0,048;0,03;-0,02;0,023;-0,021;0,087;0,062;-0,018;-0,0000125;-0,019;-0,015;0,134;0,006;-0,016;-0,008;-0,021;0,175;-0,007;-0,016;-0,003;-0,014;-0,015;-0,01;-0,014;-0,02;-0,016;-0,018;-0,006;-0,011;-0,012;-0,003;0,324;0,0000875;0,429;0,177;0,113;0,804;-0,019;0,439;0,226;0,121;0,979;-0,014;-0,007
Blank corrected based on Raw Data (600);15,67;0,015;0,006;-0,005;-0,005;-0,012;0,017;-0,011;-0,008;0,05;-0,016;-0,015;0,32;-0,012;-0,018;-0,008;-0,019;0,321;-0,011;-0,021;-0,01;-0,018;-0,016;-0,014;-0,013;-0,021;-0,02;-0,022;-0,009;-0,014;-0,02;0,0007125;-0,018;-0,016;-0,021;-0,014;-0,021;-0,017;-0,018;-0,02;-0,01;-0,019;-0,011;-0,019;0,002;0,05;0,038;-0,02;0,015;-0,02;0,099;0,046;-0,019;-0,002;-0,019;-0,015;0,147;0,014;-0,015;-0,009;-0,02;0,186;-0,006;-0,017;-0,0003875;-0,015;-0,01;-0,01;-0,009;-0,02;-0,015;-0,016;-0,005;-0,005;-0,012;-0,004;0,014;-0,007;0,448;0,16;0,117;0,811;-0,02;0,448;0,284;0,119;0,989;-0,015;-0,01
Blank corrected based on Raw Data (600);15,83;0,018;0,011;-0,005;-0,001;-0,018;0,019;-0,009;-0,004;0,05;-0,015;-0,013;0,315;-0,013;-0,019;-0,005;-0,018;0,32;-0,01;-0,019;-0,009;-0,016;-0,015;-0,013;-0,014;-0,021;-0,018;-0,02;-0,008;-0,013;-0,02;0,001;-0,018;-0,015;-0,019;-0,01;-0,019;-0,015;-0,017;-0,018;-0,011;-0,017;-0,009;-0,018;0,007;0,052;0,044;-0,019;0,026;-0,019;0,1;0,044;-0,018;0,003;-0,018;-0,014;0,154;0,012;-0,014;-0,006;-0,02;0,197;-0,004;-0,015;0,002;0,266;-0,012;-0,009;-0,01;-0,019;-0,014;-0,018;-0,005;-0,007;-0,011;-0,003;0,049;-0,004;0,435;0,181;0,121;0,832;-0,019;0,439;0,302;0,138;1;-0,014;-0,008
Blank corrected based on Raw Data (600);16,00;0,018;0,01;-0,005;-0,003;-0,013;0,02;-0,009;-0,006;0,049;-0,015;-0,013;0,314;-0,003;-0,018;-0,007;-0,018;0,31;-0,011;-0,019;-0,009;-0,018;-0,015;-0,014;-0,014;-0,022;-0,02;-0,022;-0,008;-0,014;-0,019;0,002;-0,018;-0,016;-0,02;-0,013;-0,019;-0,017;-0,018;-0,019;-0,012;-0,019;-0,01;-0,018;0,007;0,052;0,046;-0,02;0,027;-0,021;0,104;0,044;-0,018;0,002;-0,018;-0,015;0,156;0,013;-0,014;-0,008;-0,02;0,207;-0,007;-0,015;0,001;-0,012;-0,01;-0,009;-0,012;-0,02;-0,016;-0,018;-0,006;-0,007;-0,012;-0,003;0,105;0,047;0,443;0,194;0,125;0,856;-0,021;0,44;0,338;0,141;1,017;-0,015;-0,01
Blank corrected based on Raw Data (600);16,17;0,02;0,009;-0,006;-0,003;-0,013;0,021;-0,01;-0,006;0,05;-0,016;-0,014;0,313;-0,006;-0,019;-0,004;-0,019;0,31;-0,01;-0,02;-0,009;-0,018;-0,015;-0,014;-0,016;-0,021;-0,02;-0,021;-0,009;-0,014;-0,021;0,001;-0,018;-0,016;-0,02;-0,013;-0,021;-0,011;-0,018;-0,02;-0,013;-0,019;-0,01;-0,019;0,027;0,055;0,044;-0,02;0,028;-0,02;0,11;0,045;-0,019;0,003;-0,019;-0,016;0,162;0,011;-0,015;-0,007;-0,02;0,196;-0,006;-0,018;0,001;-0,018;-0,014;-0,01;-0,013;-0,02;-0,016;-0,013;-0,007;-0,008;-0,012;-0,004;-0,006;0,108;0,445;0,24;0,133;0,849;-0,02;0,446;0,332;0,146;1,04;-0,015;-0,011
Blank corrected based on Raw Data (600);16,33;0,021;0,009;-0,005;-0,002;-0,018;0,023;-0,009;-0,005;0,05;-0,016;-0,015;0,312;0,053;-0,018;-0,005;-0,018;0,31;-0,011;-0,021;-0,008;-0,018;-0,016;-0,015;-0,016;-0,021;-0,02;-0,022;-0,009;-0,014;-0,021;0,002;-0,018;-0,016;-0,021;-0,013;-0,021;-0,017;-0,019;-0,018;-0,013;-0,02;-0,011;-0,019;0,028;0,057;0,044;-0,02;0,03;-0,021;0,114;0,045;-0,018;0,004;-0,019;-0,015;0,177;0,011;-0,015;-0,007;-0,02;0,209;-0,005;-0,017;0,0009875;0,005;-0,012;-0,01;-0,012;-0,021;-0,015;-0,013;-0,006;-0,007;-0,011;-0,004;0,075;-0,004;0,446;0,252;0,141;0,858;-0,021;0,445;0,358;0,155;1,047;-0,015;-0,01
Blank corrected based on Raw Data (600);16,50;0,025;0,01;-0,004;-0,002;-0,02;0,024;-0,01;-0,005;0,053;-0,014;-0,014;0,31;-0,012;-0,019;-0,003;-0,018;0,304;-0,009;-0,02;-0,007;-0,017;-0,014;-0,014;-0,015;-0,021;-0,019;-0,02;-0,007;-0,014;-0,019;0,002;-0,018;-0,015;-0,019;-0,011;-0,019;-0,016;-0,017;-0,018;-0,012;-0,018;-0,009;-0,018;0,006;0,061;0,048;-0,019;0,033;-0,02;0,115;0,045;-0,018;0,005;-0,018;-0,014;0,176;0,01;-0,014;-0,007;-0,021;0,212;-0,006;-0,016;0,001;-0,002;-0,015;-0,009;-0,011;-0,018;-0,015;-0,016;-0,005;-0,007;-0,011;-0,003;0,064;-0,008;0,436;0,26;0,148;0,87;-0,019;0,438;0,352;0,166;1,051;-0,014;-0,009
Blank corrected based on Raw Data (600);16,67;0,027;0,009;-0,006;-0,002;-0,02;0,027;-0,01;-0,005;0,054;-0,015;-0,014;0,308;-0,012;-0,017;-0,003;-0,018;0,303;-0,009;-0,02;-0,007;-0,016;-0,015;-0,013;-0,015;-0,02;-0,018;-0,02;-0,007;-0,014;-0,02;0,002;-0,018;-0,016;-0,019;-0,013;-0,019;-0,016;-0,017;-0,018;-0,013;-0,018;-0,009;-0,018;0,007;0,064;0,046;-0,019;0,036;-0,02;0,137;0,045;-0,017;0,006;-0,018;-0,015;0,183;0,012;-0,013;-0,006;-0,021;0,223;-0,005;-0,016;0,002;-0,016;-0,011;-0,008;-0,011;-0,019;-0,014;-0,015;-0,005;-0,007;-0,012;-0,003;0,157;-0,008;0,434;0,267;0,155;0,879;-0,02;0,437;0,381;0,178;1,051;-0,014;-0,008
Blank corrected based on Raw Data (600);16,83;0,027;0,009;-0,005;-0,004;-0,022;0,026;-0,011;-0,006;0,054;-0,017;-0,015;0,309;-0,014;-0,019;-0,003;-0,02;0,303;-0,012;-0,021;-0,007;-0,017;-0,016;-0,014;-0,016;-0,022;-0,02;-0,021;-0,008;-0,014;-0,021;0,002;-0,019;-0,016;-0,02;-0,013;-0,021;-0,017;-0,018;-0,019;-0,011;-0,019;-0,01;-0,02;0,015;0,067;0,054;-0,021;0,036;-0,021;0,12;0,049;-0,017;0,007;-0,018;-0,015;0,194;0,01;-0,014;-0,007;-0,022;0,222;-0,006;-0,017;0,002;0,006;-0,009;-0,01;-0,013;-0,021;-0,016;-0,014;-0,005;-0,008;-0,013;-0,004;0,143;-0,009;0,439;0,276;0,164;0,884;-0,02;0,438;0,393;0,179;1,058;-0,014;-0,008
Blank corrected based on Raw Data (600);17,00;0,032;0,01;-0,005;-0,002;-0,019;0,03;-0,008;-0,004;0,055;-0,014;-0,013;0,304;-0,01;-0,017;-0,001;-0,017;0,302;-0,009;-0,018;-0,006;-0,017;-0,014;-0,013;-0,015;-0,02;-0,018;-0,02;-0,006;-0,013;-0,018;0,003;-0,018;-0,014;-0,018;-0,011;-0,018;-0,015;-0,017;-0,017;-0,011;-0,018;-0,007;-0,018;0,006;0,073;0,049;-0,019;0,039;-0,02;0,128;0,049;-0,017;0,009;-0,018;-0,014;0,199;0,013;-0,014;-0,005;-0,02;0,235;-0,005;-0,014;0,003;-0,009;-0,009;-0,008;-0,011;-0,02;-0,015;-0,014;-0,004;-0,006;-0,011;-0,003;-0,006;-0,009;0,425;0,284;0,173;0,89;-0,018;0,431;0,411;0,204;1,061;-0,014;-0,006
Blank corrected based on Raw Data (600);17,17;0,031;0,009;-0,005;-0,003;-0,021;0,03;-0,01;-0,007;0,055;-0,016;-0,014;0,301;-0,014;-0,019;-0,002;-0,019;0,297;-0,011;-0,02;-0,007;-0,018;-0,016;-0,014;-0,016;-0,022;-0,02;-0,021;-0,009;-0,015;-0,02;0,0001625;-0,019;-0,016;-0,021;-0,014;-0,02;-0,018;-0,019;-0,019;-0,013;-0,018;-0,009;-0,019;0,011;0,071;0,047;-0,019;0,041;-0,021;0,128;0,044;-0,019;0,009;-0,019;-0,016;0,2;0,012;-0,015;-0,006;-0,021;0,228;-0,006;-0,018;0,002;-0,017;-0,008;-0,011;-0,013;-0,021;-0,016;-0,018;-0,006;-0,008;-0,012;-0,004;0,168;0,017;0,426;0,29;0,181;0,889;-0,02;0,431;0,416;0,205;1,051;-0,014;-0,011
Blank corrected based on Raw Data (600);17,33;0,034;0,005;-0,006;-0,003;-0,022;0,032;-0,011;-0,007;0,056;-0,016;-0,015;0,302;-0,012;-0,018;-0,002;-0,019;0,298;-0,01;-0,02;-0,004;-0,016;-0,016;-0,014;-0,015;-0,021;-0,019;-0,021;-0,009;-0,014;-0,019;0,002;-0,02;-0,015;-0,02;-0,012;-0,021;-0,015;-0,018;-0,018;-0,01;-0,02;-0,011;-0,019;0,0002125;0,076;0,045;-0,02;0,034;-0,021;0,138;0,047;-0,018;0,008;-0,019;-0,015;0,215;0,014;-0,014;-0,004;-0,021;0,25;-0,005;-0,016;0,004;-0,001;-0,014;-0,009;-0,009;-0,02;-0,015;-0,019;-0,003;-0,004;-0,012;-0,003;0,128;-0,009;0,422;0,285;0,195;0,874;-0,02;0,428;0,46;0,217;1,046;-0,015;-0,011
Blank corrected based on Raw Data (600);17,50;0,036;0,01;-0,006;-0,002;-0,021;0,033;-0,01;-0,005;0,057;-0,015;-0,014;0,305;-0,013;-0,019;0,0000625;-0,017;0,296;-0,011;-0,02;-0,005;-0,017;-0,015;-0,014;-0,015;-0,021;-0,02;-0,021;-0,007;-0,015;-0,02;0,0006625;-0,018;-0,016;-0,019;-0,013;-0,019;-0,017;-0,017;-0,018;-0,012;-0,018;-0,01;-0,018;0,008;0,078;0,044;-0,019;0,043;-0,02;0,142;0,052;-0,018;0,011;-0,019;-0,015;0,222;0,011;-0,014;-0,004;-0,02;0,253;-0,007;-0,016;0,004;0,001;-0,009;-0,009;-0,013;-0,02;-0,016;-0,015;-0,005;-0,007;-0,011;-0,004;0,029;-0,008;0,429;0,299;0,204;0,897;-0,02;0,436;0,438;0,234;1,05;-0,014;-0,01
Blank corrected based on Raw Data (600);17,67;0,036;0,008;-0,006;-0,002;-0,02;0,032;-0,011;-0,006;0,057;-0,016;-0,014;0,298;-0,013;-0,018;-0,001;-0,019;0,294;-0,011;-0,021;-0,006;-0,018;-0,016;-0,015;-0,018;-0,022;-0,019;-0,021;-0,009;-0,015;-0,02;0,0006;-0,02;-0,018;-0,02;-0,013;-0,021;-0,018;-0,018;-0,019;-0,014;-0,019;-0,01;-0,021;0,012;0,079;0,045;-0,02;0,047;-0,021;0,139;0,049;-0,018;0,011;-0,02;-0,016;0,233;0,009;-0,015;-0,006;-0,022;0,252;-0,007;-0,017;0,004;0,115;-0,016;-0,01;-0,014;-0,021;-0,017;-0,014;-0,005;-0,007;-0,013;-0,005;0,107;-0,009;0,421;0,319;0,208;0,884;-0,02;0,425;0,443;0,237;1,024;-0,016;-0,011
Blank corrected based on Raw Data (600);17,83;0,038;0,008;-0,005;-0,000275;-0,019;0,035;-0,01;-0,005;0,057;-0,015;-0,015;0,296;-0,014;-0,019;-0,000175;-0,017;0,294;-0,011;-0,02;-0,005;-0,017;-0,015;-0,014;-0,016;-0,021;-0,02;-0,021;-0,007;-0,015;-0,019;0,000625;-0,018;-0,015;-0,02;-0,013;-0,021;-0,016;-0,017;-0,017;-0,013;-0,019;-0,008;-0,019;0,012;0,086;0,047;-0,02;0,051;-0,021;0,147;0,048;-0,019;0,014;-0,019;-0,015;0,243;0,01;-0,014;-0,003;-0,021;0,23;-0,006;-0,016;0,006;-0,017;-0,014;-0,008;-0,013;-0,02;-0,016;-0,012;-0,005;-0,007;-0,011;-0,004;0,239;-0,01;0,417;0,328;0,225;0,888;-0,019;0,43;0,452;0,252;1,027;-0,015;-0,007
