Well;;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;D12;E02;E03;E04;E05;E06;E07;E08;E09;E10;E11;E12;F02;F03;F04;F05;F06;F07;F08;F09;F10;F11;F12;G02;G03;G04;G05;G06;G07;G08;G09;G10;G11;G12
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60;Sample X61;Sample X62;Sample X63;Sample X64;Sample X65;Sample X66
Blank corrected based on Raw Data (600);59,83;-0,014;-0,017;0,328;0,12;0,265;0,308;-0,015;0,188;0,648;0,725;-0,014;-0,009;0,082;0,348;0,086;0,285;0,12;-0,012;0,113;0,24;0,742;-0,014;0,197;0,013;0,476;0,443;0,27;0,713;-0,005;0,894;0,435;0,442;-0,009;-0,000526667;-0,018;0,349;0,549;0,191;0,5;-0,018;0,4;0,549;0,969;-0,016;-0,002;0,191;0,339;0,13;0,279;0,268;-0,017;0,288;0,471;0,775;-0,015;-0,006;0,151;0,242;0,143;0,179;0,218;-0,012;0,101;0,589;0,244;0,216
Blank corrected based on Raw Data (600);60,00;0,038;-0,018;0,337;0,15;0,266;0,351;-0,017;0,185;0,65;0,714;-0,014;-0,007;-0,005;0,339;0,088;0,267;0,116;-0,012;0,111;0,252;0,778;-0,015;0,171;0,167;0,442;0,43;0,262;0,794;0,004;0,952;0,375;0,438;-0,006;-0,000696667;-0,019;0,345;0,546;0,193;0,507;-0,019;0,399;0,56;0,958;-0,016;-0,006;0,154;0,327;0,127;0,362;0,267;-0,017;0,286;0,498;0,781;-0,016;-0,006;0,33;0,26;0,141;0,175;0,214;-0,011;0,099;0,567;0,213;0,144
Blank corrected based on Raw Data (600);60,17;-0,016;0,083;0,341;0,154;0,269;0,319;-0,016;0,184;0,671;0,752;-0,01;-0,008;0,064;0,333;0,088;0,265;0,114;-0,012;0,11;0,253;0,776;-0,016;0,233;0,23;0,442;0,427;0,259;0,715;0,004;0,952;0,37;0,432;-0,006;-0,002;0,003;0,346;0,547;0,189;0,507;-0,019;0,398;0,56;0,962;-0,016;-0,008;0,078;0,551;0,129;0,233;0,267;-0,017;0,286;0,5;0,772;-0,016;-0,008;0,222;0,261;0,141;0,175;0,212;-0,012;0,1;0,575;0,21;0,265
Blank corrected based on Raw Data (600);60,33;-0,015;-0,018;0,347;0,149;0,265;0,323;-0,016;0,183;0,678;0,726;-0,000296667;-0,008;-0,012;0,33;0,086;0,265;0,114;-0,013;0,109;0,251;0,771;-0,015;0,212;0,039;0,435;0,429;0,261;0,782;0,003;0,954;0,365;0,43;-0,006;-0,000396667;0,023;0,344;0,546;0,188;0,509;-0,019;0,399;0,558;0,975;-0,017;-0,006;0,126;0,419;0,129;0,26;0,266;-0,016;0,287;0,506;0,788;-0,017;-0,008;0,218;0,259;0,388;0,171;0,21;-0,013;0,099;0,573;0,212;0,22
Blank corrected based on Raw Data (600);60,50;0,025;-0,018;0,351;0,122;0,26;0,287;-0,014;0,186;0,726;0,741;-0,015;-0,01;-0,016;0,349;0,084;0,276;0,114;-0,012;0,109;0,237;0,758;-0,014;0,183;0,18;0,459;0,428;0,267;0,704;-0,004;0,878;0,43;0,428;-0,008;-0,00083;-0,014;0,346;0,545;0,185;0,501;-0,017;0,4;0,541;0,954;-0,016;-0,006;0,133;0,527;0,129;0,22;0,267;-0,017;0,288;0,484;0,768;-0,016;-0,004;0,316;0,246;0,157;0,17;0,21;-0,012;0,1;0,615;0,246;0,218
Blank corrected based on Raw Data (600);60,67;-0,016;-0,01;0,337;0,155;0,257;0,287;-0,015;0,182;0,656;0,747;-0,015;-0,008;0,024;0,339;0,085;0,261;0,113;-0,012;0,109;0,253;0,785;-0,015;0,266;0,327;0,429;0,426;0,258;0,711;0,004;0,952;0,373;0,427;-0,006;-0,002;-0,011;0,34;0,545;0,187;0,503;-0,019;0,398;0,557;0,956;-0,016;-0,008;0,266;0,525;0,127;0,208;0,266;-0,017;0,289;0,512;0,798;-0,016;-0,006;0,244;0,264;0,147;0,166;0,207;-0,013;0,101;0,569;0,211;0,24
Blank corrected based on Raw Data (600);60,83;0,033;-0,017;0,325;0,119;0,254;0,288;-0,015;0,186;0,691;0,75;-0,014;-0,006;-0,016;0,345;0,084;0,279;0,114;-0,012;0,107;0,236;0,769;0,045;0,187;0,182;0,45;0,429;0,265;0,699;-0,003;0,874;0,426;0,448;-0,009;-0,000283333;0,189;0,341;0,542;0,184;0,496;-0,018;0,399;0,547;0,95;-0,015;-0,006;0,066;0,638;0,129;0,221;0,266;-0,017;0,289;0,496;0,776;-0,016;-0,009;0,278;0,247;0,147;0,165;0,207;-0,013;0,102;0,629;0,251;0,108
Blank corrected based on Raw Data (600);61,00;-0,018;-0,017;0,338;0,144;0,257;0,289;-0,016;0,181;0,647;0,747;-0,015;-0,01;0,172;0,329;0,084;0,257;0,113;-0,013;0,106;0,25;0,801;-0,015;0,207;0,111;0,424;0,424;0,254;0,704;0,002;0,947;0,371;0,415;-0,008;-0,002;0,113;0,338;0,544;0,185;0,503;-0,019;0,397;0,551;0,956;-0,016;-0,008;-0,012;0,439;0,128;0,229;0,266;-0,016;0,287;0,514;0,769;-0,004;-0,009;0,205;0,266;0,133;0,164;0,203;-0,013;0,101;0,588;0,214;0,189
Blank corrected based on Raw Data (600);61,17;0,04;-0,015;0,508;0,119;0,25;0,325;-0,016;0,184;0,649;0,752;-0,015;-0,006;-0,003;0,458;0,083;0,281;0,114;-0,013;0,107;0,237;0,759;-0,014;0,228;0,011;0,444;0,426;0,267;0,692;-0,003;0,867;0,428;0,409;-0,007;-0,000763333;0,074;0,337;0,541;0,183;0,497;-0,019;0,398;0,544;0,936;-0,017;-0,003;0,128;0,413;0,13;0,215;0,265;-0,017;0,289;0,493;0,771;-0,016;-0,000963333;0,222;0,245;0,144;0,16;0,203;-0,013;0,102;0,655;0,24;0,203
Blank corrected based on Raw Data (600);61,33;-0,016;0,05;0,328;0,145;0,252;0,663;-0,016;0,182;0,642;0,756;-0,015;-0,009;0,014;0,326;0,083;0,261;0,112;-0,014;0,103;0,251;0,782;-0,015;0,218;0,187;0,418;0,423;0,255;0,765;0,004;0,939;0,367;0,441;-0,007;-0,001;0,018;0,335;0,541;0,183;0,501;-0,019;0,395;0,549;0,942;-0,017;-0,008;-0,006;0,369;0,128;0,21;0,264;-0,017;0,287;0,513;0,77;-0,017;-0,009;0,189;0,265;0,135;0,157;0,198;-0,013;0,103;0,599;0,216;0,158
