Well;;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60
Raw Data (600);68,83;0,52;0,86;0,84;0,81;0,34;0,28;0,22;0,46;0,39;0,20;0,80;0,60;1,17;0,89;0,39;0,07;0,07;0,42;0,30;0,32;0,59;0,44;0,88;0,79;0,32;0,20;0,11;0,86;0,89;0,17;0,08;0,08;0,08;0,08;0,18;0,14;0,07;0,25;0,30;0,31;0,26;0,45;0,46;0,49;0,19;0,15;0,25;0,10;0,14;0,15;0,48;0,36;1,12;0,99;0,10;0,45;0,15;0,63;0,82;0,44
Raw Data (600);69,00;0,52;0,81;0,84;0,80;0,34;0,28;0,23;0,44;0,40;0,11;0,80;0,57;1,17;0,92;0,39;0,07;0,07;0,42;0,30;0,08;0,59;0,43;1,06;0,75;0,32;0,20;0,11;0,88;0,89;0,18;0,09;0,08;0,08;0,08;0,14;0,11;0,08;0,31;0,23;0,30;0,26;0,45;0,49;0,49;0,19;0,16;0,17;0,10;0,13;0,30;0,48;0,37;1,10;1,00;0,10;0,45;0,15;0,62;0,83;0,32
Raw Data (600);69,17;0,52;0,83;0,84;0,81;0,34;0,28;0,22;0,44;0,39;0,13;0,80;0,58;1,17;0,91;0,38;0,07;0,07;0,42;0,30;0,08;0,59;0,45;0,89;0,75;0,32;0,21;0,11;0,86;0,88;0,16;0,08;0,08;0,08;0,08;0,15;0,35;0,22;0,15;0,26;0,19;0,26;0,45;0,47;0,49;0,19;0,18;0,11;0,11;0,13;0,12;0,48;0,44;1,10;0,99;0,09;0,45;0,15;0,62;0,82;0,29
Raw Data (600);69,33;0,52;0,81;0,84;0,80;0,34;0,28;0,23;0,45;0,39;0,12;0,80;0,58;1,17;0,91;0,38;0,07;0,07;0,42;0,30;0,08;0,59;0,43;0,86;0,75;0,32;0,21;0,11;0,85;0,87;0,17;0,08;0,08;0,08;0,08;0,10;0,32;0,09;0,19;0,11;0,13;0,26;0,45;0,46;0,48;0,19;0,24;0,10;0,10;0,13;0,14;0,48;0,37;1,12;1,00;0,09;0,45;0,15;0,62;0,82;0,36
Raw Data (600);69,50;0,51;0,88;0,84;0,80;0,35;0,28;0,27;0,45;0,39;0,12;0,80;0,58;1,25;0,97;0,41;0,08;0,07;0,42;0,30;0,08;0,59;0,44;0,87;0,75;0,32;0,22;0,12;0,88;0,88;0,21;0,09;0,09;0,08;0,09;0,25;0,13;0,09;0,10;0,10;0,12;0,25;0,49;0,49;0,49;0,19;0,21;0,12;0,11;0,14;0,24;0,48;0,38;1,11;1,00;0,10;0,45;0,15;0,62;0,83;0,39
Raw Data (600);69,67;0,52;0,84;0,84;0,80;0,35;0,28;0,28;0,47;0,40;0,28;0,80;0,58;1,23;0,93;0,38;0,08;0,07;0,42;0,31;0,12;0,59;0,47;0,87;0,75;0,32;0,22;0,12;0,86;0,87;0,18;0,09;0,09;0,08;0,09;0,10;0,24;0,09;0,12;0,09;0,10;0,25;0,48;0,49;0,50;0,19;0,21;0,11;0,10;0,14;0,19;0,48;0,44;1,12;1,00;0,09;0,45;0,15;0,61;0,83;0,42
Raw Data (600);69,83;0,52;0,88;0,84;0,81;0,35;0,28;0,28;0,46;0,39;0,13;0,80;0,58;1,25;0,95;0,42;0,08;0,07;0,43;0,32;0,08;0,59;0,43;0,93;0,76;0,32;0,23;0,12;0,87;0,88;0,16;0,12;0,09;0,09;0,09;0,08;0,12;0,22;0,19;0,11;0,20;0,25;0,49;0,49;0,50;0,19;0,28;0,15;0,11;0,14;0,16;0,48;0,32;1,14;1,01;0,10;0,45;0,15;0,61;0,83;0,32
Raw Data (600);70,00;0,52;0,85;0,83;0,79;0,35;0,28;0,26;0,45;0,39;0,20;0,81;0,58;1,25;0,95;0,40;0,08;0,07;0,43;0,31;0,08;0,59;0,45;0,87;1,15;0,33;0,23;0,17;0,87;0,88;0,17;0,09;0,09;0,08;0,09;0,18;0,11;0,10;0,20;0,10;0,23;0,25;0,46;0,46;0,49;0,19;0,24;0,13;0,11;0,14;0,25;0,48;0,41;1,11;1,01;0,09;0,46;0,15;0,61;0,82;0,36
Raw Data (600);70,17;0,51;0,81;0,84;0,80;0,35;0,28;0,29;0,45;0,39;0,11;0,81;0,57;1,27;0,98;0,40;0,08;0,07;0,42;0,31;0,08;0,59;0,44;0,87;0,75;0,32;0,24;0,12;0,88;0,87;0,18;0,09;0,09;0,08;0,09;0,30;0,26;0,17;0,09;0,22;0,31;0,25;0,49;0,47;0,49;0,19;0,24;0,10;0,10;0,13;0,30;0,48;0,36;1,12;1,01;0,09;0,45;0,15;0,61;0,83;0,32
Raw Data (600);70,33;0,51;0,85;0,84;0,80;0,35;0,28;0,32;0,45;0,39;0,25;0,80;0,58;1,26;0,96;0,39;0,08;0,07;0,44;0,31;0,08;0,59;0,44;0,86;0,75;0,32;0,24;0,12;0,86;0,86;0,19;0,10;0,09;0,08;0,09;0,26;0,09;0,08;0,29;0,14;0,31;0,25;0,48;0,48;0,50;0,19;0,19;0,11;0,11;0,14;0,20;0,48;0,43;1,12;1,00;0,09;0,45;0,15;0,60;0,82;0,46
Raw Data (600);70,50;0,51;0,89;0,83;0,79;0,35;0,28;0,31;0,45;0,39;0,11;0,84;0,57;1,29;0,98;0,40;0,08;0,07;0,43;0,32;0,08;0,59;0,43;0,86;0,75;0,33;0,25;0,13;0,87;0,86;0,19;0,12;0,09;0,08;0,09;0,23;0,29;0,08;0,09;0,23;0,29;0,25;0,48;0,47;0,49;0,19;0,19;0,17;0,11;0,14;0,27;0,48;0,26;1,13;1,01;0,09;0,45;0,15;0,61;0,82;0,42
Raw Data (600);70,67;0,51;0,84;0,83;0,79;0,35;0,28;0,31;0,46;0,39;0,15;0,80;0,58;1,25;0,93;0,38;0,08;0,07;0,42;0,31;0,08;0,59;0,46;0,86;0,75;0,33;0,25;0,12;0,85;0,85;0,20;0,09;0,09;0,08;0,09;0,20;0,20;0,08;0,09;0,17;0,24;0,25;0,47;0,48;0,50;0,19;0,28;0,22;0,11;0,14;0,24;0,48;0,40;1,13;1,01;0,10;0,45;0,16;0,60;0,81;0,43
Raw Data (600);70,83;0,51;0,89;0,83;0,79;0,35;0,28;0,31;0,45;0,39;0,25;0,80;0,58;1,23;0,94;0,38;0,08;0,07;0,42;0,31;0,08;0,59;0,46;0,94;0,75;0,32;0,26;0,12;0,85;0,85;0,18;0,09;0,09;0,08;0,13;0,24;0,25;0,09;0,29;0,19;0,13;0,25;0,48;0,47;0,49;0,19;0,27;0,14;0,11;0,14;0,29;0,48;0,34;1,12;1,01;0,09;0,45;0,16;0,61;0,81;0,46
Raw Data (600);71,00;0,51;0,83;0,82;0,78;0,35;0,28;0,32;0,45;0,40;0,22;0,81;0,58;1,21;0,91;0,39;0,08;0,08;0,42;0,32;0,08;0,59;0,43;0,86;0,74;0,33;0,26;0,12;0,84;0,83;0,16;0,09;0,09;0,09;0,09;0,41;0,08;0,08;0,24;0,17;0,34;0,25;0,48;0,48;0,51;0,19;0,18;0,11;0,11;0,14;0,39;0,48;0,40;1,12;1,00;0,10;0,45;0,16;0,61;0,81;0,40
Raw Data (600);71,17;0,51;0,88;0,83;0,79;0,36;0,28;0,33;0,46;0,39;0,12;0,80;0,58;1,25;0,93;0,38;0,08;0,08;0,43;0,32;0,08;0,59;0,42;0,86;0,74;0,32;0,26;0,12;0,86;0,84;0,16;0,12;0,09;0,08;0,09;0,37;0,17;0,09;0,25;0,13;0,31;0,25;0,47;0,48;0,49;0,19;0,42;0,26;0,11;0,14;0,30;0,47;0,43;1,13;1,00;0,10;0,45;0,16;0,61;0,81;0,37
Raw Data (600);71,33;0,51;0,78;0,82;0,77;0,35;0,27;0,33;0,44;0,40;0,35;0,80;0,59;1,21;0,89;0,39;0,08;0,07;0,42;0,33;0,08;0,60;0,44;1,11;0,74;0,33;0,27;0,12;0,84;0,83;0,17;0,09;0,09;0,08;0,09;0,20;0,08;0,11;0,41;0,10;0,31;0,25;0,45;0,47;0,51;0,19;0,29;0,17;0,11;0,14;0,20;0,48;0,27;1,12;1,00;0,10;0,44;0,16;0,62;0,81;0,36
Raw Data (600);71,50;0,50;0,82;0,83;0,79;0,36;0,28;0,35;0,45;0,39;0,11;0,80;0,57;1,27;0,94;0,38;0,08;0,08;0,43;0,34;0,08;0,59;0,44;0,85;0,74;0,32;0,27;0,12;0,85;0,83;0,20;0,09;0,09;0,08;0,12;0,08;0,09;0,09;0,14;0,38;0,31;0,25;0,46;0,48;0,50;0,20;0,30;0,10;0,11;0,14;0,26;0,47;0,32;1,12;1,00;0,10;0,45;0,16;0,61;0,81;0,35
Raw Data (600);71,67;0,51;0,86;0,82;0,78;0,35;0,27;0,35;0,45;0,39;0,27;0,80;0,61;1,22;0,90;0,39;0,08;0,07;0,42;0,33;0,08;0,59;0,44;0,86;0,74;0,32;0,28;0,12;0,84;0,81;0,23;0,09;0,09;0,08;0,15;0,08;0,08;0,12;0,11;0,23;0,15;0,25;0,47;0,48;0,50;0,20;0,12;0,18;0,11;0,14;0,25;0,47;0,38;1,13;1,00;0,10;0,44;0,16;0,61;0,81;0,41
Raw Data (600);71,83;0,50;0,88;0,81;0,77;0,35;0,27;0,35;0,45;0,38;0,15;0,79;0,58;1,21;0,89;0,39;0,08;0,07;0,43;0,33;0,08;0,59;0,44;0,84;0,74;0,33;0,28;0,13;0,83;0,81;0,18;0,09;0,09;0,08;0,10;0,33;0,08;0,08;0,08;0,21;0,11;0,25;0,46;0,51;0,50;0,19;0,27;0,13;0,11;0,14;0,16;0,48;0,40;1,13;1,00;0,10;0,44;0,16;0,61;0,80;0,40
